Wallet address,Total token balance,Unclaimed balance,Claimed balance,Total ETH paid,Last paid timestamp
0x3ecff2cdb27b7ac271f1dec715a9a2e200988b6f,60,60,0,0.05, 03 Aug 2022 11:19:19 GMT
0xe52436fc77186101fcc92bba1735d153daae9aed,12,12,0,0.01, 19 Jul 2022 11:59:09 GMT
